skl_trade|Marchandage
skl_trade_desc|Chaque niveau de cette compétence vous offre un bonus de commerce de 5%%. (Compétence de groupe)
skl_leadership|Commandement
skl_leadership_desc|Chaque point augmente le nombre maximum de soldats que vous pouvez commander de 5, augmente le moral du groupe et diminue la solde des troupes de 5%%. (Compétence de commandant)
skl_prisoner_management|Gestion prisonniers
skl_prisoner_management_desc|Chaque niveau de cette compétence augmente le nombre maximum de prisonniers de 10 et réduit les chances que les seigneurs emprisonnés s'échappent de 2%%. Chance que les seigneurs s'échappent chaque semaine : 30%% si retenu dans le groupe, 15%% si retenu dans une ville/un château, 5% si retenu dans une ville/un château avec une prison (Compétence de commandant)
skl_entertain|Divertissement
skl_entertain_desc|Chaque jour, chaque héros avec cette compétence augmente le morale du groupe. Cela vous aide également pour la prière. (Compétence personnelle)
skl_reserved_2|Compétence réservée 2
skl_reserved_2_desc|Cette compétence est réservée.
skl_reserved_3|Compétence réservée 3
skl_reserved_3_desc|Cette compétence est réservée.
skl_reserved_4|Compétence réservée 4
skl_reserved_4_desc|Cette compétence est réservée.
skl_persuasion|Persuasion
skl_persuasion_desc|Cette compétence permet d'imposer son point de vue à autrui. Augmente la capacité de négocier l'abandon durnat les sièges. Chanque rang augmente le nombre de troupes recrutable depuis les villages de 1 et réduit le prix de chaque villageois recruté de 1 Cerf d'argent. Augmente le nombre de provisions que les villageois vous remette lors des pillages de 3%. (Compétence personnelle)
skl_engineer|Ingénierie
skl_engineer_desc|Cette compétence vous permet de construire des équipements de siège et d'aménager vos fiefs plus efficacement. (Compétence de groupe)
skl_first_aid|Premiers soins
skl_first_aid_desc|Les héros récupèrent 5%% des points de vie perdus au cours de la bataille par niveau de compétence. (Compétence de groupe)
skl_surgery|Chirurgie
skl_surgery_desc|Les chances qu'un soldat survive à un coup mortel sont augmentées de 4%% par niveau de compétence. (Compétence de groupe)
skl_wound_treatment|Guérison
skl_wound_treatment_desc|La vitesse de guérison du groupe est augmentée de 20%% par niveau de compétence. (Compétence de groupe)
skl_inventory_management|Gestion inventaire
skl_inventory_management_desc|Augmente la capacité de l'inventaire de 6 cases par niveau de compétence. (Compétence de commandant)
skl_spotting|Repérage
skl_spotting_desc|La distance de vision du groupe est augmentée de 10%% par niveau de compétence. (Compétence de groupe)
skl_pathfinding|Déplacement
skl_pathfinding_desc|La vitesse de voyage sur la carte est augmentée de 3%% par niveau de compétence. (Compétence de groupe)
skl_tactics|Tactique
skl_tactics_desc|Tous les deux niveaux de compétence, l'avantage tactique du groupe augmente d'un point. (Compétence de groupe)
skl_tracking|Pistage
skl_tracking_desc|Les empreintes révèlent plus d'informations, et sont visibles plus longtemps. (Compétence de groupe)
skl_trainer|Mentor
skl_trainer_desc|Chaque jour, chaque héros avec cette compétence ajoute de l'expérience à tous les autres membres du groupe dont le niveau est inférieur au leur. L'expérience gagnée augmente ainsi : 0, 4, 10, 16, 23, 30, 38, 46, 55, 65, 80. (Compétence personnelle et de groupe)
skl_navigating|Navigation
skl_navigating_desc|Chaque point investi dans cette compétence augmente la rapidité de votre navire de 3%%. Fournit aussi des avantages dans le combat naval. (Compétence de groupe)
skl_sailing_master|Roi des mers
skl_sailing_master_desc|Chaque point augmente le maximum de navires que vous pouvez commander. (Compétence de commandant)
skl_reserved_7|Compétence réservée 7
skl_reserved_7_desc|Cette compétence est réservée.
skl_foraging|Provisions
skl_foraging_desc|Permet au groupe d'obtenir 5 produits alimentaires par niveau de compétence (campement, siège, pillage) et d'accroître sa quête de nourriture (Compétence de groupe) Niveau max : 10.
skl_looting|Pillage
skl_looting_desc|Cette compétence augmente le butin obtenu de 10%% par niveau de compétence. (Compétence de groupe)
skl_horse_archery|Archerie montée
skl_horse_archery_desc|Réduit les pénalités de dégâts et de précision lors de l'utilisation en selle d'une arme à distance. (Compétence personnelle)
skl_riding|Équitation
